Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Views,Leak_Size,Org_Revenue,Percentage_Leaked
Liftow LTD,https://liftow.com/,NA,04/08/2022,NA,"- data on employees (employment contracts, phones, on all employees ssn numbers, dates of birth, verification forms, payrolls) - Finance (bank statements, tax returns, various invoices, payment documents) - Clients (lease agreements, sales agreements, supply agreements, mutual settlements, mail, addresses, phones) - Sales information - Databases sql , qlikview, GoldMine",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/liftowltd,Quantum Blog,200.7k,255GB,$210 Million,100% (full dump)
American International Industries,http://www.aiibeauty.com,NA,12/07/2022,NA,"Finance data, corporate data, employee data, HR data, customer data.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/americaninternationalindustries,Quantum Blog,227.9k,167GB,$100M,100% (full dump)
RG Alliance Group,http://www.rgalliance.com,NA,16/06/2022,NA,NA,http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/rgalliancegroup,Quantum Blog,258.0k,1.2TB,$9M,100% (full dump)
M. Green and Company LLP,http://mgreencpas.com,NA,14/06/2022,NA,"Customer Data, Employees Data, HR Data, Financials",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/mgreenandcompanyllp,Quantum Blog,259.5k,41GB,$5M,100% (full dump)
Tex-Isle Supply,https://www.texisle.com/,NA,17/05/2022,NA,"DATA: W9 forms, invoices, TX Direct pay certificates, 1099 forms, Statements, Vendors documents, Employees documents, Customers documents, Payrolls, Insurance documents, Sales, Fixed Assets information, Leasing information and documents, Inventory, Banking documents, Audit reports, Wire payments data, signed NDAs, HR data, Top management personal info (include children's documents and current assets)",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/texisle,Quantum Blog,295.4k,32Gb,$77M,0% (announcement)
Petro Serve,https://www.petroserveusa.com/,NA,29/04/2022,NA,"Financial documents, tax documents, payrolls, W-9 forms, 1099-K forms, W-2 forms, personal data with SSN, Accounting data, sales, invoices, statements, contracts, medical documents, Financial Statements 2011-2022 (All DEPT)",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/petroserve,Quantum Blog,320.2k,?GB,$52M,0% (announcement)
Henry,http://www.henry.com,NA,29/04/2022,NA,"Personal data, Financial data, engineering data, customer data, employee data.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/henry,Quantum Blog,320.3k,830GB,$263M,100% (full dump)
Elgin County,http://www.elgincounty.ca,NA,27/04/2022,NA,"Financial, engineering, HR and other data.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/elgincounty,Quantum Blog,323.2k,50GB,$50M,100% (full dump)
Hi Tech HoneyComb,http://www.hitechhoneycomb.com,NA,11/04/2022,NA,"Employees Personal Data, Customer Data, HR Data, Financial Reports, Engineering Data, Partner Contracts and so on.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/hitechhoneycomb,Quantum Blog,344.4k,350GB,$27M,0% (announcement)
Service Employees' International Union,http://www.seiuwest.ca,NA,11/04/2022,NA,"Employees Data, Labor Data, Customer Data, Financial Reports, Signed Forms, Personal data for Thousands of members.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/serviceemployeesinternationalunion,Quantum Blog,343.8k,43GB,$1B,0% (announcement)
Jazeera Airways,https://www.jazeeraairways.com/,NA,07/02/2022,NA,"Documents: finances, internal documentation, incident investigations, procedures, etc",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/jazeeraairways,Quantum Blog,432.3k,1200MB,$270M,0% (announcement)
Lewis & Clark College,http://www.lclark.edu,NA,13/01/2022,NA,"Personal Data for Students and teachers, financial data, etc",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/lewisclarkcollege,Quantum Blog,470.6k,26G,$50M,100% (full dump)
